ID1,ID2,locX,locY,time,Interpolation
819,1123,3428.53213857668,1986.30460006719,29,0
819,1123,3367.1704121285,2035.43100365662,37,0
1094,1025,3542.56650881087,2060.15646669793,44,0
1123,1025,3400.4324942778,2059.24338873524,50,0
1123,1025,3375.59339720918,2035.94001784321,55,0
1123,1025,3367.21707134139,2027.32984497093,56,0
1123,1025,3371.46377018489,2029.44950031095,57,0
828,1025,3371.46377018489,2029.44950031095,57,0
1123,1025,3374.33313292916,2027.50143978717,58,0
1123,1025,3370.21124062919,2030.79792515674,59,0
1123,1025,3370.95522969546,2032.95943698619,60,1
1123,1025,3368.78839195698,2031.80395176363,61,0
1123,1025,3368.15392697254,2035.40440640299,62,1
1123,1025,3367.52323021434,2038.96761194245,63,0
1123,1025,3368.29167679557,2040.46761194025,64,1
1123,1025,3368.75992606811,2040.14615317689,65,0
1123,1025,3373.69662265314,2042.95442982368,66,0
828,1025,3365.08369298543,2067.20404465889,71,0
1123,1025,3373.91869887559,2061.09987230534,76,0
604,867,1909.12996311963,1474.57955724481,76,0
604,867,1914.65982987577,1489.85976573386,77,0
1123,1025,3369.28757470548,2059.11131904523,78,1
1123,1025,3367.07699837922,2054.44377097609,86,0
1123,1025,3366.12691034792,2053.82027016551,87,0
1123,1025,3367.35542886356,2077.70250351369,90,0
1123,1025,3374.4163368275,2076.68253650112,111,0
1123,1025,3390.81019208536,2069.80659412394,125,0
1123,1025,3399.83632586748,2069.41170852548,132,0
1123,1025,3386.16537559556,2072.97979633042,139,0
1123,1025,3381.53008433929,2077.23129485167,141,0
1123,1025,3381.84859583167,2081.94237131745,143,0
1123,1025,3379.51162496302,2085.78852963092,144,0
1123,1025,3378.02974494694,2086.97998116193,145,0
828,1025,3378.02974494694,2086.97998116193,145,0
1123,1025,3374.90125656881,2089.36953660973,147,1
1123,1025,3374.03561828008,2089.51404784489,148,0
828,1025,3374.34199749003,2094.01407586074,149,0
1123,1025,3375.91270715556,2093.21091939101,150,0
828,1025,3375.91270715556,2093.21091939101,150,0
1123,1025,3377.56244588975,2093.29362746582,151,1
828,1025,3377.56244588975,2093.29362746582,151,0
1123,1025,3379.60665769851,2093.50283389851,152,0
828,1025,3379.60665769851,2093.50283389851,152,0
1123,1025,3380.54132953575,2091.71526239277,153,0
828,1025,3380.54132953575,2091.71526239277,153,0
1123,1025,3380.34860678877,2090.72528737938,154,0
828,1025,3380.34860678877,2090.72528737938,154,0
1123,1025,3381.38057729078,2092.26298667414,155,0
1123,1025,3386.73039555069,2093.98015097167,157,0
828,1025,3386.73039555069,2093.98015097167,157,0
1123,1025,3389.24344006941,2090.28338650987,158,1
1123,1025,3391.49074494246,2078.397768156,163,1
543,1025,3356.658403868,2087.64805249766,164,0
1123,1025,3392.74252058202,2077.21148860044,164,0
1123,1025,3393.68689278448,2077.8576635969,165,0
1123,1025,3396.62570606716,2076.21838033082,166,1
1123,1025,3396.04734979497,2073.96564781975,167,0
1123,1025,3391.83779003496,2079.09462343074,170,1
828,1025,3385.86045056527,2095.67297835421,172,0
543,1123,3364.66688437404,2144.34467601604,173,1
543,828,3364.66688437404,2144.34467601604,173,1
543,1123,3364.6979409359,2144.67566360505,174,0
543,828,3364.6979409359,2144.67566360505,174,0
543,1123,3361.48098051844,2146.89854635343,175,0
543,828,3361.48098051844,2146.89854635343,175,0
1123,1025,3379.29976387993,2102.03289429671,176,0
1123,1025,3379.6604959313,2103.1700677361,177,0
1123,1025,3379.08470603594,2105.0030215881,178,0
1152,463,2564.89369738769,1955.92313618692,181,0
1152,463,2590.53305583531,1957.66681235625,182,0
543,1123,3370.32421998667,2172.54088473512,182,0
543,828,3370.32421998667,2172.54088473512,182,0
1152,463,2581.15131457512,1967.72219964164,185,0
1123,1025,3379.85949909368,2103.55118678697,187,0
1123,1025,3378.59573462692,2103.9577594844,188,0
828,1025,3380.62742518336,2099.763231118,189,0
1123,1025,3381.91069716574,2095.67516299117,200,0
828,1025,3381.91069716574,2095.67516299117,200,0
1123,1025,3381.75701538106,2094.52824691852,201,1
828,1025,3381.75701538106,2094.52824691852,201,1
1123,1025,3380.95446969857,2092.6818807019,202,0
1123,1025,3379.77377683131,2093.21989064204,203,1
828,1025,3379.77377683131,2093.21989064204,203,1
1123,1025,3379.48005980543,2092.96883902675,204,0
1123,1025,3380.34658054314,2094.47494227271,205,0
828,1025,3380.34658054314,2094.47494227271,205,0
1123,1025,3379.93498571351,2094.21416554043,206,0
828,1025,3379.93498571351,2094.21416554043,206,0
1123,1025,3381.40275178418,2090.96556419297,207,0
1123,1025,3380.07317507495,2090.89413197328,208,0
1123,1025,3380.02446633107,2091.78563879849,209,0
1123,1025,3379.53641438309,2091.50920481579,210,0
1123,1025,3380.88544631016,2088.37831627937,211,0
1123,1025,3380.160505537,2087.74212251186,212,1
1123,1025,3379.49953454487,2087.16257429396,213,0
1123,1025,3379.77432698668,2085.79999485237,214,0
1123,1025,3378.27573284544,2087.36688542197,215,0
1123,1025,3378.65398056305,2086.9792990955,216,0
828,1025,3378.65398056305,2086.9792990955,216,0
1123,1025,3378.24758437147,2086.31830293931,217,1
1123,1025,3377.77305092557,2085.64416475795,218,0
1123,1025,3377.31840649182,2086.16446774785,219,0
828,1025,3377.31840649182,2086.16446774785,219,0
1123,1025,3377.62955419003,2087.07346014635,220,0
1123,1025,3375.89880383824,2086.4214771026,224,0
1123,1025,3375.60391439383,2086.40130032946,225,0
1123,1025,3375.8648416591,2083.69212367299,228,1
1163,632,3328.01566474246,1684.51037998825,228,0
1123,1025,3376.49466606424,2080.59823242972,229,0
1123,1025,3376.73676667435,2080.8905499742,230,1
1123,1025,3377.53558803301,2080.24819895509,231,1
1123,1025,3377.7500444194,2079.37697360435,232,0
1123,1025,3378.00579241989,2077.49245278525,233,0
1123,1025,3377.50344872906,2074.95010587148,236,0
1123,1025,3377.35604613122,2075.01095010722,237,1
1123,1025,3377.62443029574,2074.67181715158,238,0
1123,1025,3376.72425251616,2073.2196903826,239,0
1123,1025,3377.47520211466,2073.04030897084,240,0
1123,1025,3377.88194674054,2073.61539966225,241,0
1123,1025,3378.32961669754,2073.77553006087,242,0
1123,1025,3378.88320065549,2073.94924124128,243,0
1123,1025,3378.70142348057,2072.91092523031,244,1
1123,1025,3378.70528469003,2071.65995276986,245,0
1123,1025,3387.74893230961,2068.63088138537,248,0
1123,1025,3391.93875359879,2069.22155760604,249,0
828,1025,3390.96988715353,2059.48120406205,251,1
828,1025,3390.75685683385,2051.87636649803,252,0
1123,1025,3390.15842356526,2045.02116099215,253,0
1123,1025,3392.14743450209,2043.44600584087,254,0
1123,1025,3392.58869174372,2038.68496979469,256,0
1123,1025,3389.98991335195,2038.22837286453,257,0
1123,1025,3386.62494381767,2043.31811962901,259,0
1123,1025,3387.29904376995,2041.1569086017,260,0
1123,1025,3387.01025602319,2038.64830989122,261,0
1123,1025,3388.0542969805,2038.19027555866,262,0
3116,1152,3020.47522266697,1855.36006198279,263,0
1123,1025,3387.44825012454,2037.64880984771,263,1
1123,1025,3386.95388067842,2037.2078266041,264,0
1123,1025,3386.56867037941,2034.63823281551,268,0
1123,1025,3384.29340077547,2040.83289341533,270,0
1123,1025,3386.49955152277,2034.3220591098,272,0
828,1025,3393.89893062314,2033.78559782821,277,0
828,1025,3394.47233376684,2040.11844607086,278,0
828,1025,3389.07716044963,2038.59705718796,279,0
604,1126,3221.47644422119,1969.39685401718,280,0
1094,1126,3221.47644422119,1969.39685401718,280,0
604,1126,3221.21054388674,1965.98183473987,281,0
1094,1126,3221.21054388674,1965.98183473987,281,0
1123,1025,3389.59228633642,2036.02799459379,281,0
828,1025,3389.59228633642,2036.02799459379,281,0
828,1025,3388.54980892495,2039.53889324234,282,0
1123,1025,3387.21703449577,2039.19693334419,283,0
828,1025,3387.21703449577,2039.19693334419,283,0
828,1025,3385.49251377338,2035.70946749031,284,0
828,1025,3383.96672486287,2036.00025627526,285,0
828,1025,3383.66122209043,2028.12660678262,286,0
3116,1152,3044.91250970578,1889.68372524839,287,1
828,1025,3382.40803151955,2020.6759922287,287,0
1123,1025,3381.56227747782,2019.01598262083,288,0
828,1025,3381.56227747782,2019.01598262083,288,0
