ID1,ID2,locX,locY,time,Interpolation
3562,3310,2592.01886941508,2412.02138693742,22,0
3562,3488,2332.19905010523,2349.79929007721,27,0
3433,3471,3655.29347595722,2033.66760748038,28,0
3562,3488,2333.48276304232,2346.39890175088,29,0
3433,3471,3655.50647980683,2033.94248289834,32,0
3328,3310,3075.17497413683,2031.40072015801,32,0
3433,3471,3655.55811109879,2034.08420757009,33,0
3433,3471,3655.80547442516,2034.25694836041,34,0
3433,3471,3655.80439201097,2034.17600970919,35,0
3433,3471,3655.69166423172,2034.28246162761,36,0
3433,3471,3655.89034052925,2034.32484991906,37,0
3433,3471,3655.78397198084,2034.24400826045,38,0
3433,3471,3655.95357675809,2034.41543370532,39,0
3492,2783,3398.0326776341,2682.45660865077,39,0
3433,3471,3655.82838614444,2034.25481452548,40,0
3433,3471,3655.80862333845,2034.21007719091,41,0
3433,3471,3655.7879339666,2034.20789599689,42,0
3433,3471,3655.93406326025,2034.24326319082,43,0
3433,3471,3655.79183697698,2034.22682152798,44,0
3433,3471,3655.9129743565,2034.25267217868,45,0
3433,3471,3656.06326121692,2034.40592952756,46,0
3433,3471,3656.144550088,2034.50087732352,47,0
3433,3471,3656.07358477981,2034.37554755561,48,0
3360,3457,2997.05916118065,2899.36157784177,48,0
3433,3471,3656.12939950673,2034.48168903176,49,0
3433,3471,3656.00244610386,2034.36149809053,50,0
3433,3471,3656.09933662691,2034.47006037234,51,0
3235,3333,2721.32412631989,2906.55549001515,51,0
3433,3471,3655.92101928,2034.37515318248,52,0
3265,3562,2058.6826330102,2172.3233511368,52,0
3433,3471,3656.02068833108,2034.42582591087,53,0
3433,3471,3656.1251170896,2034.4533122358,54,0
3433,3471,3656.08485984562,2034.40898355246,55,0
3235,3333,2717.85610783486,2902.46711814236,55,0
3433,3471,3656.108930726,2034.41761202581,56,0
3433,3471,3655.72750174154,2034.22185834117,57,0
3433,3471,3655.87666760811,2034.40939855577,58,0
3433,3471,3655.96829733875,2034.41484159945,59,0
3433,3471,3655.72246272365,2034.27624110103,60,0
3433,3471,3655.96742223712,2034.53096619156,61,0
3433,3471,3656.13955070039,2034.56772596867,62,0
3360,3457,3026.02997672088,2901.32758805803,62,0
3433,3471,3656.09334016709,2034.56793101664,63,0
3430,3310,3880.15417446447,1870.40119990835,63,0
3360,3457,3019.1315892135,2899.41723656019,63,0
3433,3471,3656.2777626199,2034.55629206827,64,0
3433,3471,3656.01679446631,2034.55090790985,65,0
3360,3457,3021.39968767507,2895.3033402704,65,1
3433,3471,3656.17680204619,2034.65492111947,66,0
3360,3457,3016.07369284663,2891.65892036925,66,0
3433,3471,3655.92623381492,2034.37795153876,67,0
3433,3471,3656.1052235568,2034.52847921831,68,0
3433,3471,3656.0175501124,2034.47257276361,69,0
3360,3457,3023.82712003591,2901.99516141667,69,0
3433,3471,3655.61792568527,2033.97561135009,70,0
3360,3457,3019.47527397489,2899.28978912911,70,0
3433,3471,3655.09161792721,2033.85023240624,71,0
3360,3457,3014.48931412434,2900.56276979337,71,0
3433,3471,3654.99033884393,2033.19367536496,72,0
3360,3457,3012.04176735865,2897.56521029724,72,0
3433,3471,3655.43521537637,2033.1611052182,73,0
3360,3457,3009.18254320438,2893.47821633061,73,0
3360,3457,3012.60168751362,2902.10433407907,74,0
1,3528,3272.07408441096,2900.93514106687,88,0
3522,3528,3272.07408441096,2900.93514106687,88,0
1,3528,3284.99350763556,2890.39971974746,89,0
1,3528,3287.70318034972,2866.0709654407,90,0
2815,3492,3861.91518551518,2153.46952161575,93,0
2815,3492,3863.46111619862,2155.88653426152,94,1
3265,3488,2186.56304013633,2245.16807269504,132,0
3265,3488,2186.68567102007,2245.45241423039,133,0
3265,3488,2184.64465056493,2244.04994097101,134,0
3265,3488,2184.63389270617,2243.5999195121,135,0
3265,3488,2184.4126334794,2243.78812083171,136,0
3265,3488,2184.59584745134,2243.06866430713,137,0
3265,3488,2184.03233166312,2243.33391690505,138,0
3265,3488,2184.63600421195,2244.50840059434,139,0
77,3492,3682.89726675065,1464.67687355474,168,0
77,3492,3705.46765357311,1444.36486898207,171,0
77,3492,3709.58064024003,1418.68612863762,176,0
77,3492,3708.61800480241,1416.63161351855,179,0
3562,3310,2019.89448567629,2105.98121984038,216,0
3235,2783,2719.93914362515,2951.75171095695,216,0
3235,2783,2723.40730798358,2946.75243990894,217,0
3265,3488,2115.43274858877,2040.33537873867,236,0
1,3310,3217.74484921397,2946.6331854578,239,0
2815,3310,3843.07440767492,2205.83504096474,244,1
3430,3310,3928.7131966364,1892.37664377011,254,1
3433,3471,3769.88861600558,1905.02598069739,255,0
3433,3471,3761.04024539471,1903.60930769816,256,0
3433,3471,3757.42019542224,1920.96855423017,257,0
3433,3471,3757.22446591099,1933.65325255961,258,0
3437,2815,3864.68814097392,2235.82756639924,260,0
3265,3329,2205.45260629759,2169.24247484784,267,0
3333,357,2399.72920448034,1797.74130247451,271,1
3457,357,2399.72920448034,1797.74130247451,271,1
3471,3430,3807.78317755129,2077.39614938719,284,0
