ID1,ID2,locX,locY,time,Interpolation
595,16,1862.40575469491,1757.0248099752,3,0
418,702,3533.10739857261,1669.70053209935,20,0
418,702,3511.99931454076,1645.93966009032,21,1
595,16,3144.3185956165,1896.5307396134,21,0
418,702,3505.45341832444,1654.35547979802,22,0
418,702,3514.33072788278,1633.1789195475,23,0
630,532,3172.89727427039,1689.10547803272,32,1
630,703,3100.39722959274,1748.31795849149,35,1
3116,703,3021.43225203357,1765.57439140762,43,0
703,729,3348.40091997767,1866.9952443472,73,1
449,703,3268.98289334522,1661.24823580133,90,0
595,16,2883.53107485802,1904.4331252958,113,0
595,16,2883.43092377859,1904.6294106413,114,0
595,16,2883.11289215963,1904.62160418998,115,1
595,16,2883.30799742982,1904.18448143877,116,0
595,16,2883.17932074851,1904.86965790846,117,0
595,16,2883.79260762584,1903.57417160291,118,0
595,16,2887.79493783933,1898.86871505623,120,0
594,542,3053.8972042431,1915.95399942047,121,0
595,16,2887.45645996837,1899.26912457115,121,0
594,542,3056.36946307174,1915.72479010436,122,0
594,542,3046.82679429001,1926.03414330668,123,0
594,542,3048.98717917471,1921.00874836813,124,0
595,16,2885.70519671615,1900.98960345774,124,0
595,16,2886.5990851092,1901.06674937429,125,0
594,542,3047.92390028173,1919.73846207275,126,0
595,16,2886.44418966983,1900.78118343505,126,0
594,542,3045.25732785662,1917.99404939453,127,0
594,542,3042.29161842673,1916.52684759811,128,0
418,822,3203.66060333668,2264.54161867474,133,0
418,822,3203.88380889089,2262.72070002153,134,0
595,16,3048.08688757939,2110.10010988143,144,1
595,16,2468.27276118814,1221.81123125478,160,1
595,16,2992.23103625226,2334.291552431,166,1
595,16,2936.67395373532,2340.90147569809,168,0
418,16,2766.20232766934,887.505372347578,180,1
594,703,2781.8651903668,1089.11264372274,181,0
532,729,3414.03306028922,1143.47742582337,181,0
822,703,2853.84732235905,1126.80177624604,184,0
822,703,2856.50216758735,1127.19676867769,185,0
595,16,2180.66094431537,2390.73966147176,196,1
595,16,1968.18658648307,2310.13281864159,202,1
595,16,2001.378702637,2317.43800593981,203,0
