ID1,ID2,locX,locY,time,Interpolation
795,765,2697.56780076791,875.140962204343,3,0
819,1101,3483.01733208568,1256.05996362586,22,1
637,480,3477.27045687618,992.752879744021,51,0
1133,1101,3587.71687212995,991.065676415406,58,0
1152,1101,3717.07701275834,1182.34708218599,74,0
542,819,3367.05839321537,842.135750190292,75,1
849,637,3489.63158501834,971.567310559888,77,0
849,1133,3549.6160900555,983.509934710565,85,0
849,1133,3565.68479819545,978.920157984514,86,0
1152,1133,3624.4814920569,1045.78393350137,86,0
480,1133,3674.40956129842,1125.98178464965,106,0
849,480,3566.63659955611,1015.234781857,110,1
849,480,3539.1722922342,999.464766432811,112,0
849,480,3535.58566087088,1010.19974287564,113,0
849,819,3511.22796432354,988.116536505495,115,0
542,1070,3598.01479660404,1282.84068558195,118,0
480,1133,3583.12869754388,1112.61499610704,129,0
3116,1101,3643.50771475108,1435.0889220686,149,0
3116,1101,3644.47147822129,1434.60000965813,150,0
3116,1101,3648.23449229282,1439.57296784288,151,0
3116,1101,3647.29494094959,1439.48750880364,152,0
542,1070,3636.63096135324,1221.18504390886,153,0
3116,1101,3645.96514753212,1439.52424340909,153,0
849,1070,3611.72254785851,1130.7472003181,154,0
3116,1101,3641.81943695153,1441.21013244713,154,0
542,1070,3633.50519366049,1225.01482555592,155,0
480,819,3501.59514227472,923.420667022054,164,0
480,819,3496.59722577275,924.913100597998,165,0
1133,819,3440.417562213,885.289509282418,165,0
480,819,3499.82623584402,922.709324890536,166,0
480,819,3500.13399540467,921.729394502678,168,0
542,1070,3629.25817183603,1189.19206732915,170,0
1070,1127,3668.93776487747,1235.11588496766,175,0
1070,1127,3644.63312105228,1208.11159552878,176,0
2847,1127,3625.3534813208,1247.80695030349,189,0
1070,1133,3728.86423482501,1336.24986024409,192,0
1070,2847,3709.23531821852,1368.56744843295,192,0
1152,3116,3603.52998074412,1538.1226620367,194,0
480,1127,3496.41541168922,1116.73333750635,196,1
1070,2847,3665.66836831068,1317.26498547348,205,0
1070,2847,3665.21194263253,1317.57031117665,206,0
1070,1152,3707.65450850544,1388.27400078375,207,1
