ID1,ID2,locX,locY,time,Interpolation
595,664,3633.52821710682,1593.25297913723,10,0
595,664,3637.12281881789,1589.08620722368,11,0
3116,630,3841.36697678434,1471.72424856741,23,0
595,664,3622.96093746595,1580.89771615444,29,0
595,664,3611.77681236583,1596.05393945988,30,0
703,3116,3790.43575853424,1718.17256842915,57,0
3116,594,3667.33081856094,1778.95075105531,64,0
3116,594,3676.08616342937,1768.77521712431,67,1
2847,595,2694.85947332266,2307.80857280406,162,0
3116,630,3542.20876916267,2509.88322510065,232,0
3116,630,3545.60276878934,2507.19597560204,233,0
3116,630,3546.70475781694,2505.5743117521,234,0
3116,630,3547.30313535754,2504.66807526204,235,0
3116,630,3548.12663404324,2504.33978400656,236,0
3116,630,3555.03428138775,2495.06390681526,238,0
3116,630,3554.52143396649,2493.64522544962,239,0
3116,630,3554.25474164019,2493.59382097519,240,0
3116,630,3553.9308637173,2493.33679363985,241,0
3116,630,3553.71331110537,2493.71217960245,242,0
3116,630,3553.84267029568,2493.16262489897,243,0
3116,630,3551.68059041476,2492.24808841131,244,0
3116,630,3547.74122459351,2487.84157681311,245,0
3116,630,3441.20322032251,2407.11100453667,250,0
3116,630,3437.82767812995,2408.39021493601,251,0
3116,630,3438.70035247928,2406.94531216586,252,0
3116,630,3438.79133143999,2406.185422575,253,0
3116,630,3440.94686455598,2409.26397566843,256,0
630,702,3503.08045858475,2387.54743800594,256,0
3116,630,3433.00541499676,2422.64557815914,257,0
630,702,3621.09523352338,1825.64501901078,277,0
630,418,3701.57533258146,1918.66062800243,279,0
