ID1,ID2,locX,locY,time,Interpolation
3433,3471,3654.79018246024,2033.68312232862,5,0
3433,3471,3655.4478717891,2033.98621866159,6,0
3433,3471,3655.69166423172,2034.28246162761,7,0
3433,3471,3655.80862333845,2034.21007719091,8,0
3433,3471,3656.06326121692,2034.40592952756,9,0
3433,3471,3656.09933662691,2034.47006037234,10,0
3235,3333,2721.32412631989,2906.55549001515,10,0
3433,3471,3656.108930726,2034.41761202581,11,0
3235,3333,2713.18788771635,2891.09878112657,11,0
3433,3471,3655.96742223712,2034.53096619156,12,0
3360,3457,3036.83044968572,2905.351109741,12,0
3433,3471,3656.17680204619,2034.65492111947,13,0
3360,3457,3016.07369284663,2891.65892036925,13,0
3433,3471,3655.09161792721,2033.85023240624,14,0
3360,3457,3014.48931412434,2900.56276979337,14,0
3235,3333,2744.01332664143,2921.79804779396,15,0
3360,3333,3022.35942150251,2891.48165364496,17,0
3265,3488,2184.4126334794,2243.78812083171,27,0
3433,3471,3770.70966095745,1911.65604738667,34,0
3433,3471,3770.67998425361,1911.79980163811,35,0
77,3492,3709.58064024003,1418.68612863762,35,0
3433,3471,3770.41183220471,1911.73993453795,36,0
3433,3471,3788.47743435949,1957.91103079568,38,0
3433,3471,3769.73818724863,1911.91528591014,41,0
3562,3310,2019.89448567629,2105.98121984038,43,0
3235,2783,2719.93914362515,2951.75171095695,43,0
18,3428,2372.71624392089,2461.86024860834,45,0
3433,3471,3772.59903150569,1910.5557187928,47,0
3265,3488,2115.43274858877,2040.33537873867,47,0
3433,3471,3773.22622948101,1910.29171850259,48,0
3433,3471,3773.20244745498,1909.80352669675,49,0
3433,3471,3761.04024539471,1903.60930769816,51,0
1,3428,2818.18681870205,2824.23908391337,52,0
3333,357,2399.72920448034,1797.74130247451,54,1
3457,357,2399.72920448034,1797.74130247451,54,1
3433,3328,3697.16811238455,1883.0204213552,55,0
3562,3310,2015.08393691649,2088.86685570077,57,0
3328,3430,3664.60777687227,1725.34596726851,61,0
3265,3492,2185.52988495002,2167.17360743101,66,0
3265,3492,2199.00969610091,2164.88854158614,67,0
3265,3492,2211.3897109708,2125.69295146168,69,0
3265,3492,2211.33766438085,2126.19587566404,70,0
3329,3488,2346.4853351572,2208.83937507564,70,1
3265,3492,2206.93219849645,2151.84293617076,71,0
3310,3237,2552.49799910808,2393.37586505905,73,0
3430,3310,3282.17043569345,2366.4860194224,76,0
2815,3360,3687.53913609159,2315.95136763889,87,0
2815,3360,3719.40998702422,2321.78609416471,88,0
2815,3360,3682.49047621708,2310.63230113584,89,0
3562,3457,2025.54167804667,2094.34197122691,94,0
3492,3360,3603.94262875673,1611.76385862152,100,0
3492,3360,3604.89276949995,1614.31787861655,101,0
3471,18,3231.03819622425,2155.92023524619,101,1
3492,3360,3604.79946940007,1613.14516020206,102,0
3328,3528,3327.67580360998,1890.3039797547,102,0
3492,3360,3606.10734731546,1612.70101022453,103,1
3268,3333,2906.20993444875,2251.30067088053,103,0
3268,3457,2906.20993444875,2251.30067088053,103,0
3492,3360,3603.04827142765,1613.25962907871,104,0
3268,3333,2906.89247934435,2238.39405453249,104,0
3268,3457,2906.89247934435,2238.39405453249,104,0
3492,3360,3605.12744915377,1612.59059675659,105,0
3471,18,3257.29147689075,2158.50226264914,105,0
3492,3360,3606.61652276851,1611.64052401193,106,0
3492,3360,3604.65810797296,1611.45349216559,107,0
3492,3360,3603.14541731347,1612.00862246536,108,0
3492,3360,3604.09840241492,1611.75025406504,109,0
2815,3328,3732.18726031206,2298.34466392844,110,0
2815,3328,3712.92410014655,2291.03177737041,111,0
3471,18,3284.17720001401,2140.32495513671,113,0
3265,3492,2962.07713304942,1582.96460518178,115,0
3265,3492,2961.25474730474,1583.31165408462,116,0
3268,3333,2919.90088256919,2215.58238210233,116,0
3265,3492,2961.2521649899,1584.0556429823,117,0
3265,3492,2960.6955852845,1584.51844306296,118,0
3433,2815,3329.26254597569,2570.81030312931,119,0
3265,3492,2960.63003455045,1585.09560161017,119,0
3265,3492,2960.90828288557,1583.84333568051,120,0
3268,3333,2921.42518167921,2215.15901149871,120,0
3265,3492,2960.66143638915,1584.52988296116,121,0
3268,3333,2921.66359953671,2213.87455419198,121,0
3265,3492,2960.67315127655,1585.01184248537,122,0
3268,3333,2916.69183887013,2218.93882534543,122,1
3265,3492,2960.64550820689,1585.26106484051,123,0
3265,3492,2961.91681175114,1586.86355392358,124,0
3265,3492,2962.07253992832,1586.94919157231,125,0
3265,3492,2961.98077821125,1587.35911461704,126,0
3433,3457,3321.78185067967,2609.64058554104,126,0
3433,3457,3322.84552638767,2608.97710585566,128,0
3433,3457,3322.66805864503,2608.43821096681,129,0
3433,3457,3324.78386884465,2606.80603105482,130,0
3433,3457,3324.7651442068,2607.04679141369,131,0
