ID1,ID2,locX,locY,time,Interpolation
594,795,3234.9393175443,2542.15531155627,87,0
630,795,2408.81099556189,2315.51224878202,92,0
630,795,2488.87714266933,2304.76299333381,99,0
1152,458,3503.10263529298,1177.77129066082,232,1
795,825,3792.7951424093,2286.28751970666,313,0
495,633,3413.41284704692,2313.04528138944,348,0
1152,895,3581.52418207804,1105.27042783056,426,0
630,495,3407.02620698486,2267.20091296589,467,0
1166,853,2622.7649083178,2457.16524752956,489,0
1166,853,2622.66734098657,2457.10077681213,490,0
1166,853,2622.53797687753,2456.89479576373,491,0
605,1167,2384.90535256986,2304.49358756758,492,0
1166,853,2622.30444798618,2456.23223882889,492,0
1166,853,2615.43690936157,2442.09969032084,494,0
605,1167,2397.56100107104,2324.96262274806,497,0
605,1167,2400.23760171344,2324.57199448787,498,0
605,1167,2406.69282899534,2320.90149187282,502,0
1166,495,2653.12398565998,2505.17377394666,508,0
1166,495,2654.43769473857,2506.9869507437,509,0
605,1167,2373.80116988117,2314.99747485861,510,1
1166,495,2654.13148128689,2508.32702034321,510,0
495,853,2567.59284770241,2522.49157895326,510,0
1152,458,3634.64806535569,1174.50011204203,511,0
1166,495,2654.29993920699,2510.8676024515,511,0
605,1167,2374.74288723782,2314.12228662086,512,0
1166,495,2654.60057269021,2510.4283515042,512,0
605,1167,2374.34787110682,2314.20678625708,513,0
495,853,2582.46607955722,2530.08946247804,513,0
605,1167,2374.37468800163,2314.34412738996,514,0
605,633,2301.11134052582,2286.1270507827,514,0
1166,495,2654.47245683492,2511.86335696036,515,0
1166,495,2653.70766073517,2511.99740160881,516,0
1166,495,2653.06705822114,2512.49056655632,517,0
495,853,2621.80127981096,2551.10256730379,522,0
1167,853,2509.96336181569,2467.83020498919,534,0
1167,853,2513.10567297356,2468.95285411533,536,1
1166,633,2631.99518770585,2446.75031306056,544,0
1166,633,2630.12979146432,2449.88472013852,545,0
605,1167,3041.92005196203,1046.0477809552,558,1
1166,853,2666.80435753404,2543.91499704491,592,0
1166,853,2667.70644736172,2543.44179479849,593,0
1166,853,2668.2634856576,2543.59593618133,594,0
605,633,3413.51900352615,2493.66926035805,674,0
605,458,3187.06046675154,2121.04917808085,700,0
605,458,3107.67965586907,2065.74183590274,715,0
458,633,3011.4613674052,2024.95796627719,738,0
458,633,3010.9795970465,2024.93913549672,740,0
1166,495,3224.93163559244,2605.17425902555,755,0
605,1162,3329.51798022606,2262.65274370236,759,0
1166,495,3068.74790053765,2663.88116509072,767,0
539,495,2943.03868407288,2622.12162649012,777,0
539,822,2821.17819975851,2490.72441321286,820,0
539,822,2833.04633139989,2489.74481757403,822,0
539,822,2847.9127850119,2489.43607646439,824,0
539,822,2847.77875204128,2489.78428946003,826,0
539,822,2803.64623642177,2438.92884329028,830,0
539,822,2819.56838600679,2446.65419490277,831,0
630,633,2253.95002114713,2208.53891941998,832,0
630,633,2256.39391224601,2206.21584162221,833,0
630,633,2256.69886044389,2205.40050438551,834,0
630,633,2253.29917874396,2206.60483031472,835,0
539,822,2831.47678464277,2449.26036904877,836,0
458,853,2874.28925978895,2337.82534453655,840,0
458,853,2876.46270646417,2338.60395719681,841,0
458,853,2875.94899942131,2338.80237826936,842,0
458,853,2875.02925994572,2339.06984231943,843,0
630,1166,3049.37364038073,2479.43182786497,851,1
495,825,3252.58510981912,2383.57104713946,889,0
853,825,2725.46801191057,2630.42691549206,893,0
1166,1162,3346.19120336095,2536.47720660927,900,0
1167,1166,3172.97887842909,2388.37608020752,927,0
1162,495,3336.18179242162,2543.76995478542,927,0
895,633,3833.55190792399,1957.36963928421,946,0
605,1166,3009.32521248159,2373.57319957192,1033,0
895,825,3863.38236022982,2109.70891023832,1047,0
605,630,2957.43769682179,2404.51376726917,1074,0
1167,495,2641.46143140218,2584.15897009417,1117,0
605,633,3168.78248340889,2436.0084736256,1135,0
605,633,3169.31826117973,2435.83555376916,1136,0
605,633,3168.77873193972,2435.9445447103,1137,0
605,633,3168.8516097103,2436.01331937779,1138,0
594,495,3904.73803134818,1761.0059745926,1139,0
605,633,3168.55109304141,2435.85369832725,1139,1
605,633,3168.43508081885,2436.00707094819,1140,0
605,633,3168.18649692473,2435.99961798511,1141,0
605,633,3167.81355835773,2435.80024387707,1147,0
605,633,3167.74168048512,2435.75529862388,1148,0
539,630,2908.93981794285,2543.91149582197,1189,0
539,495,2892.3636467692,2627.415946844,1189,0
539,495,2890.79121574109,2627.74219490575,1190,0
539,495,2890.00055632,2628.73199127931,1191,0
605,1162,3340.51869619723,2394.47947709584,1201,0
605,1162,3359.39354942842,2402.9007049358,1210,0
539,495,2892.74366645098,2630.72568529127,1215,0
539,495,2906.45385003727,2629.57381363641,1216,0
1166,495,2980.82415867295,2635.56443351111,1217,0
495,822,2820.08110646202,2558.66846621647,1226,0
633,822,2828.74272592602,2512.21635492201,1280,0
633,822,2817.22568461523,2511.20219488464,1281,0
633,822,2818.66593149386,2519.51182553805,1282,0
