IndividualID,IndividualDegree,IndividualBetweenness,SumDistance,ExperimentID,ColonyID,NumberWorkers
2874,6,7.068650794,53019.4768,Networks-2-23-1,5,26
3031,8,30.58611111,200656.3149,Networks-2-23-1,5,26
2941,6,5.451796157,61523.78765,Networks-2-23-1,5,26
3095,3,1.311111111,15617.74793,Networks-2-23-1,5,26
3063,7,5.051587302,23992.89458,Networks-2-23-1,5,26
2960,10,19.53145363,70037.35348,Networks-2-23-1,5,26
2964,6,10.59931078,19676.34841,Networks-2-23-1,5,26
3140,10,19.03458647,66968.0376,Networks-2-23-1,5,26
3202,16,66.26290727,330930.2023,Networks-2-23-1,5,26
3068,3,6.966666667,31510.91583,Networks-2-23-1,5,26
3084,9,6.82575188,25309.07084,Networks-2-23-1,5,26
3085,5,1.428822055,192125.7528,Networks-2-23-1,5,26
3112,8,7.016269841,18283.16031,Networks-2-23-1,5,26
2961,7,12.33571429,226771.9628,Networks-2-23-1,5,26
2975,4,3.566917293,30909.57945,Networks-2-23-1,5,26
3151,6,1.45952381,43750.20954,Networks-2-23-1,5,26
3335,5,8.696825397,35893.24458,Networks-2-23-1,5,26
2869,8,9.580513784,459152.3413,Networks-2-23-1,5,26
3032,4,3.6,169277.2105,Networks-2-23-1,5,26
3182,2,1.477777778,54753.38039,Networks-2-23-1,5,26
3242,6,7.882894737,58777.4436,Networks-2-23-1,5,26
2941,3,0.611111111,112734.6094,Networks-3-4-1,5,15
3112,4,3.852777778,229490.1685,Networks-3-4-1,5,15
3031,6,8.072222222,10626.80973,Networks-3-4-1,5,15
3074,7,11.66111111,32652.48954,Networks-3-4-1,5,15
2878,3,0.361111111,66716.65587,Networks-3-4-1,5,15
2961,6,5.805555556,334347.0462,Networks-3-4-1,5,15
3182,5,4.666666667,100620.8963,Networks-3-4-1,5,15
3146,3,0.666666667,82239.15446,Networks-3-4-1,5,15
3151,5,6.344444444,191215.8424,Networks-3-4-1,5,15
3032,4,2.308333333,243777.5094,Networks-3-4-1,5,15
2960,3,3.316666667,82902.60901,Networks-3-4-1,5,15
3137,3,3.083333333,65410.21483,Networks-3-4-1,5,15
3068,5,4.908333333,24892.13839,Networks-3-4-1,5,15
2908,7,16.34166667,75667.79387,Networks-3-4-1,5,15
3116,4,2.333333333,188695.0755,Networks-4-25-1,8,12
3033,4,9.666666667,46202.54561,Networks-4-25-1,8,12
3169,2,14,30864.55786,Networks-4-25-1,8,12
2874,1,0,95442.74032,Networks-4-25-1,8,12
2940,2,8,47657.96406,Networks-4-25-1,8,12
3179,3,1.666666667,85122.33018,Networks-4-25-1,8,12
3172,1,0,390640.4497,Networks-4-25-1,8,12
2847,3,0.666666667,171052.9216,Networks-4-25-1,8,12
3203,5,23.66666667,59303.59842,Networks-4-25-1,8,12
295,1,0,281286.5435,Networks-4-25-1,8,12
595,2,1,198487.3398,Networks-5-27-1,9,13
3116,3,7,16165.48222,Networks-5-27-1,9,13
703,1,0,98990.68439,Networks-5-27-1,9,13
2847,1,0,96631.34156,Networks-5-27-1,9,13
630,3,7,164185.7124,Networks-5-27-1,9,13
664,1,0,231039.3195,Networks-5-27-1,9,13
594,1,0,30363.06515,Networks-5-27-1,9,13
702,1,0,309773.4206,Networks-5-27-1,9,13
418,1,0,125116.6298,Networks-5-27-1,9,13
595,1,0,58720.80658,Networks-5-31-1,10,15
418,3,29,50821.51146,Networks-5-31-1,10,15
630,2,5,40277.38156,Networks-5-31-1,10,15
3116,1,0,13633.05202,Networks-5-31-1,10,15
703,6,52.5,21812.26431,Networks-5-31-1,10,15
449,1,0,33542.3184,Networks-5-31-1,10,15
594,2,11,26333.67137,Networks-5-31-1,10,15
532,2,0.5,39428.34636,Networks-5-31-1,10,15
822,2,32,76447.9738,Networks-5-31-1,10,15
16,2,11,46616.19424,Networks-5-31-1,10,15
702,1,0,30733.4147,Networks-5-31-1,10,15
729,2,5,63430.19286,Networks-5-31-1,10,15
542,1,0,25244.9698,Networks-5-31-1,10,15
