file_names,modul_cwt,modul_cwt_num,avg_deg,n_node,Density,Betweenness,Date,FoodType,Treatment,GroupSize,ConditionComplied,GroupSize.1,Year,Group.ID
Networks-6-13-1,0.111342352,7,3.875,16,0.258333333,8.125,6/13/2022,P,T,S,PTS,17,2022,13
Networks-6-13-2,0.048182442,3,7.714285714,14,0.593406593,2.714285714,6/13/2022,P,T,S,PTS,17,2022,14
Networks-6-14-1,0.097057075,3,7.25,16,0.483333333,3.875,6/14/2022,P,T,S,PTS,16,2022,15
Networks-6-14-2,0.262882857,6,6.384615385,26,0.255384615,12.84615385,6/14/2022,P,T,L,PTL,28,2022,16
Networks-6-17-1,0.06365651,8,8.636363636,22,0.411255411,7.045454545,6/17/2022,P,T,L,PTL,27,2022,17
Networks-6-2-1,0.148933082,7,6.384615385,26,0.255384615,11.5,6/2/2022,C,T,L,CTL,28,2022,18
Networks-6-21-1,0.192372731,4,8.48,25,0.353333333,8.48,6/21/2022,P,T,L,PTL,27,2022,19
Networks-6-21-2,0.266975309,3,3.6,10,0.4,3.3,6/21/2022,P,B,S,PBS,16,2022,20
Networks-6-21-3,0.0790625,3,5.714285714,14,0.43956044,1.928571429,6/21/2022,P,B,S,PBS,16,2022,19
Networks-6-22-1,0.152249135,4,3.4,10,0.377777778,3.5,6/22/2022,P,B,S,PBS,16,2022,21
Networks-6-22-2,0.103869927,3,6.777777778,18,0.39869281,5.333333333,6/22/2022,P,B,L,PBL,27,2022,19
Networks-6-24-1,0.055555556,6,6.352941176,17,0.397058824,6,6/24/2022,P,B,L,PBL,27,2022,19
Networks-6-24-2,0.144042969,2,7.111111111,18,0.418300654,5.166666667,6/24/2022,P,B,L,PBL,28,2022,20
Networks-6-3-1,0.3865625,4,3.2,25,0.133333333,19.24,6/3/2022,C,T,L,CTL,27,2022,21
Networks-6-6-1,0.156065089,2,6.5,16,0.433333333,4.5,6/6/2022,C,B,S,CBS,17,2022,22
Networks-6-6-2,0.3112,3,3.571428571,14,0.274725275,6.5,6/6/2022,C,B,S,CBS,16,2022,23
Networks-6-7-1,0.12808642,3,3.6,10,0.4,3.8,6/7/2022,C,B,S,CBS,15,2022,24
Networks-6-7-2,0.143194444,2,10.43478261,23,0.4743083,5.826086957,6/7/2022,C,B,L,CBL,27,2022,25
Networks-6-8-1,0.107987543,3,9.909090909,22,0.471861472,5.681818182,6/8/2022,C,B,L,CBL,26,2022,26
Networks-6-9-1,0.192711615,3,6,23,0.272727273,9.434782609,6/9/2022,C,B,L,CBL,27,2022,27
