ID1,ID2,locX,locY,time,Interpolation
2687,3532,3378.64061735084,1090.18147308669,22,0
171,2687,3342.585356868,1066.2835979137,23,0
2687,3532,3379.80431364281,1092.50144260066,23,0
171,2687,3343.90540689227,1061.53440748106,24,0
171,2687,3360.18919372633,1061.98708472565,25,0
386,367,3521.34659013299,1292.52226662975,25,0
386,367,3538.91521944558,1289.18020460999,27,0
171,2687,3358.64241588768,1061.35271275412,28,0
386,367,3526.9582233844,1291.70105450406,28,0
171,2687,3352.36258951865,1060.07461443687,29,0
386,367,3526.92576006092,1292.00431029437,29,0
2687,3532,3389.10412489184,1091.77939367034,30,0
171,2687,3355.84537763824,1062.03037085466,31,0
386,367,3529.10362804839,1296.26990513867,31,0
2687,3532,3388.71588187137,1092.01697823628,31,0
171,2687,3354.20795891273,1058.63516027744,32,0
386,367,3528.69321128327,1295.18129441076,32,1
2687,3532,3387.37260437193,1090.03274121049,32,0
171,2687,3352.84566691594,1056.30664940896,33,0
386,367,3528.35343760032,1297.24680367599,33,0
2687,3532,3386.9722583304,1089.59507489022,33,0
2687,3532,3387.23116448869,1090.16294930459,34,0
171,2687,3347.86270574766,1057.736393725,35,0
386,367,3528.76623074628,1295.00541488721,36,0
2687,3532,3386.59034279061,1129.11119164532,36,0
386,367,3544.63938857206,1286.35441691576,37,0
2687,3532,3386.3700395624,1128.76435690749,37,0
171,2687,3347.0836799564,1057.90674777393,38,0
386,367,3531.2171886904,1292.24163538704,38,0
386,367,3530.81986600772,1293.53063422589,39,0
2687,3532,3387.32617547762,1132.36303160781,39,0
2769,2654,2645.06444427626,1100.59827238479,40,0
386,367,3532.36752063394,1292.02096352413,40,1
386,367,3541.93291333376,1287.0983015583,41,0
2687,3532,3387.08317288633,1127.20588679091,41,0
386,367,3541.6118179434,1289.38181292756,42,0
386,367,3529.69873447467,1293.98722133952,43,0
386,367,3530.34894366495,1292.05321134541,44,0
2687,3532,3384.57179360823,1134.77875923092,45,0
171,2687,3346.40839299727,1074.04675091157,46,0
171,367,3346.40839299727,1074.04675091157,46,0
2687,3532,3383.52478695429,1098.76001319334,46,0
367,3532,3383.52478695429,1098.76001319334,46,0
171,2687,3346.48583756826,1073.49938204906,47,0
386,367,3534.95629894124,1293.635453334,47,0
2687,3532,3383.32881586463,1098.27807080188,47,0
171,2687,3346.90337384585,1072.8641226936,48,0
386,367,3531.28625285864,1295.40666616076,48,0
2687,3532,3383.06970629937,1098.20315930812,48,0
171,2687,3347.84896685192,1071.95511973702,49,0
386,367,3532.95321729526,1295.38775568767,49,0
2687,3532,3383.15956304049,1098.53776883616,49,0
386,367,3540.77224596971,1297.83779504775,50,0
2687,3532,3383.70148117233,1099.09610156004,50,0
386,367,3525.85871620578,1302.41708666313,51,0
2687,3532,3383.99854175804,1099.23234493539,51,0
171,2687,3343.1113199286,1064.84853299614,52,0
386,367,3539.32597088413,1300.78325579367,52,0
2687,3532,3382.80390628782,1097.95763898505,52,0
171,2687,3343.96683775315,1063.63858774152,53,0
