ID1,ID2,locX,locY,time,Interpolation
542,703,3737.15875964604,2371.2281334838,7,0
894,453,3821.54149262251,1396.75122511189,49,0
703,894,3074.48498650959,2620.74789278612,240,0
703,894,3075.53551292163,2620.55123202004,247,0
703,894,3075.95530790424,2620.62730753167,251,0
703,894,3075.86229277128,2620.37117182226,252,0
703,894,3075.92140936961,2620.33853186437,253,0
703,894,3075.87034905914,2620.05491779828,254,1
703,894,3075.49139588582,2619.26131856881,255,1
703,894,3075.30318040984,2619.16186223441,256,1
852,894,3032.82315281829,2586.92219854951,257,0
703,894,3076.35637748482,2620.75529930472,258,1
852,894,3035.78907389187,2583.27869178453,259,0
852,894,3036.92973192785,2584.23174505346,260,0
637,601,3107.0267013113,1478.93063884262,414,0
637,601,3088.0305361796,1495.76974072577,417,0
637,601,3087.9172567336,1498.43888606057,418,1
637,601,3090.78817780138,1496.93702561672,419,0
637,601,3090.18771795228,1496.76728415575,420,0
852,453,2441.07101787537,2506.86701896236,452,0
852,453,2439.67083280628,2505.03669768851,453,0
852,453,2441.74273517713,2499.00794629267,454,0
852,453,2440.25427734338,2499.85053016458,458,0
703,852,2906.65365200532,2440.9225604875,516,0
703,852,2909.54695781705,2441.10648960108,517,0
703,852,2913.28975166504,2447.33489146327,518,0
703,852,2917.60476589933,2453.65661685742,519,0
601,543,3499.17324662528,2057.09034832611,750,1
601,852,3573.4939468967,2095.63237107211,803,0
894,453,3765.70038246571,2146.19572267575,815,0
542,852,3683.03555876837,1987.78620622827,910,0
601,852,3499.6995547392,1998.34415268318,919,0
418,453,3297.57956842214,2384.40713430979,937,1
852,729,2968.49197995261,1506.32714856671,991,0
852,729,2968.36944422437,1506.01394137978,992,0
852,729,2968.07475851465,1504.64713923209,993,0
852,729,2968.11071298321,1504.24066281133,995,0
852,729,2968.02239020628,1504.2511919543,996,1
852,729,2967.72914024843,1504.56333205116,997,0
852,729,2967.85441953532,1504.39764309293,998,0
852,729,2967.77866449716,1504.14333808432,999,0
852,729,2967.69040884557,1503.24545344197,1000,0
852,729,2967.44597330945,1504.72154092403,1004,0
852,729,2967.36439393414,1505.32034585287,1006,0
852,729,2967.18450335289,1505.42303484114,1007,0
852,729,2966.68558408925,1507.18890253475,1010,1
852,729,2966.48066886018,1506.35615225186,1011,0
852,729,2966.63833215672,1506.6752474966,1012,0
852,729,2966.67181067199,1506.16417245269,1013,0
852,729,2966.44959997099,1507.29682498861,1024,0
852,729,2966.53447548138,1507.21606650246,1025,0
852,729,2966.38017109222,1506.86347834266,1026,0
852,729,2966.540576134,1506.314655537,1029,0
852,729,2966.5156771767,1506.47752878008,1030,0
852,729,2966.55816437952,1507.15493448974,1031,0
852,729,2966.26718909408,1507.13072507176,1032,0
852,729,2966.23974066401,1507.26801108318,1034,0
852,729,2966.59797222846,1507.89385906737,1035,1
852,729,2966.39664414009,1507.87245979832,1036,0
852,729,2966.26629415991,1507.97998307418,1037,1
852,729,2966.02053401557,1508.2297187748,1038,0
852,729,2717.29437095814,1593.14813207727,1060,0
